id,datetime,,user_question,bot_response
cthr_68f74751d67081979847e2db8a54d1e009bb59e22b99e338,2025-10-21 08:41,ID Verification Essentials,Do I need id?,"Yes. You must bring valid photo ID with a photo to be allowed to take the exam. If you do not show valid ID at the start, you cannot sit the exam . The exam staff accepts these types of ID: passport, Norwegian national ID card, Norwegian driving licence issued after 01.01.1998 (including the digital licence), Norwegian residence card, Armed Forces ID, EEA/EFTA ID cards, driving licences from Denmark/Sweden/Finland/Iceland, Norwegian refugee travel document, and Norwegian immigrant’s passport (not valid if issued for a single trip). Copies or expired ID are not accepted . If you arrive late or have forgotten your ID, you will not be allowed to take the exam .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Denne responsen er KI-generert og kan inneholde feil."
cthr_68f74b294ff88196b5be9da09a831184061af6f76d4215e9,2025-10-21 08:58,Greeting with AI Assistant,hei,"Ikke relevant

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f74b3beb6c81979e6a20b3bd4f09010f834bb870994497,2025-10-21 08:58,Priser for eksamen,Hva koster en eksamen,"For privatisteksamen er prisen:
- 1 356 kroner per eksamen når du ikke har standpunkt/eksamenskarakter i faget, eller hvis du har strøket (fått karakter 1) som elev eller privatist .
- 2 713 kroner per eksamen hvis du vil forbedre et fag du allerede har bestått som elev eller privatist .

Viktig å vite:
- Språkfag har to eksamener (skriftlig og muntlig) og du betaler to avgifter. I norsk er det tre eksamener (hovedmål, sidemål og muntlig), og du betaler tre avgifter. I realfag på nivå 2 (for eksempel fysikk 2, kjemi 2, biologi 2) betaler du to avgifter (skriftlig og muntlig-praktisk) .
- Betaling skjer i Privatistportalen, og oppmeldingen er ikke gyldig før du har betalt innen fristen. Etter oppmeldingsfristen får du ikke refundert avgiften hvis du trekker deg .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f74b3beb6c81979e6a20b3bd4f09010f834bb870994497,2025-10-21 09:05,Priser for eksamen,når er det mulig å melde seg opp til privatisteksamen?,"Du kan melde deg opp i Privatistportalen i disse periodene:
- Høsteksamen: 1. september til 15. september (stenger kl. 23:55)
- Våreksamen: 15. januar til 1. februar (stenger kl. 23:55) 

Merk:
- Oppmeldingen er ikke gyldig før du har betalt eksamensavgiften innen fristen.
- Du kan ikke melde deg opp i flere fylker i samme eksamensperiode .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f74b3ffe548195b61db703eb0e01e80fe92b01bdc0671f,2025-10-21 08:58,Dato for matteeksamen,når er matteeksamen,"Skriftlig matteeksamen for privatister gjennomføres to ganger i året: i november–desember (høst) og april–juni (vår) . Selve eksamensdatoen for matematikk ser du i Privatistportalen når du melder deg opp, og Udir har også oversikter over eksamensdatoer . For muntlig/muntlig-praktisk eksamen (der det er aktuelt) publiseres dato i Privatistportalen rundt 1. november for høst og 1. april for vår .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f74bb574308195845a39caa8532df7035773cc8d88fcc4,2025-10-21 09:00,Veiledning for fagvalg,Jeg ønsker å ta opp fag,"Så bra! Her er en enkel oversikt over hvordan du tar opp fag som privatist i Telemark:

Slik melder du deg opp
- Gå inn i Privatistportalen med ID-porten, velg fag og betal i løsningen. Oppmeldingen er gyldig først når betalingen er registrert. Frister: 1.–15. september for høst, og 15. januar–1. februar for vår (stenger kl. 23.55) .
- Er du usikker på riktig fagkode, kan du kontakte eksamenskontoret. Du har ansvar for å velge riktig fagkode selv .

Pris
- 1 356 kroner per eksamen hvis du mangler standpunkt/eksamenskarakter, eller har karakter 1.
- 2 713 kroner per eksamen hvis du vil forbedre en bestått karakter.
- Språkfag: du betaler for både skriftlig og muntlig. Norsk: tre avgifter (hovedmål, sidemål, muntlig). Realfag nivå 2 (for eksempel fysikk 2): både skriftlig og muntlig-praktisk. Betalt avgift refunderes ikke etter fristen .

Viktige fagregler
- Språkfag: du må ha både skriftlig og muntlig for å få faget godkjent. I språk med to standpunktkarakterer kan du forbedre bare den ene delen som privatist.
- Realfag 2 (biologi 2, fysikk 2, kjemi 2, geofag 2, IT 2, teknologi og forskningslære 2): du må melde deg opp til både skriftlig og muntlig-praktisk .

Tid og sted for eksamen
- Høst: november–desember. Vår: april–juni. Muntlig og muntlig-praktisk publiseres i Privatistportalen ca. 1. november/1. april og holdes hovedsakelig på Skien videregående skole. Skriftlig er vanligvis i Porsgrunn Tennishall. Datoer og sted finner du i Privatistportalen. Du kan ikke bytte oppsatt dato/sted .

Tilrettelegging og fritak
- Du kan søke om tilrettelegging ved dokumentert behov. Eksempler er utvidet tid eller skjermet plass. Husk å søke innen frist og legge ved dokumentasjon  .
- Fritak for skriftlig sidemål kan være mulig for privatister i noen tilfeller. Søknadsfrister: 25. september (høst) og 10. februar (vår) .
- Norsk for språklige minoriteter med kort botid kan være aktuelt hvis du oppfyller vilkårene. Eksamenskontoret sjekker dokumentasjonen din .

Etter eksamen
- Skriftlige karakterer publiseres i Privatistportalen 19. juni (vår) og 4. januar (høst). Muntlige/munnlig-praktiske/praktiske publiseres kort tid etter eksamensdagen .
- Trenger du kompetansebevis eller nytt vitnemål (for å få privatistkarakterer inn på vitnemålet), bestiller du via fylkets nettsider. Frist mot Samordna opptak: 1. juli, bestill senest 20. juni for vår .

Kan du si hvilke fag du vil ta opp? Da kan jeg gi deg mer presise råd om fagkode, eksamensform og hva du bør melde deg opp til.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Svar fra KI – kan inneholde feil."
cthr_68f74bb574308195845a39caa8532df7035773cc8d88fcc4,2025-10-21 09:02,Veiledning for fagvalg,hva koster det å ta eksamen?,"Eksamensavgiften for privatisteksamen er:
- 1 356 kroner per eksamen hvis du mangler standpunkt/eksamenskarakter, eller har karakter 1 fra før 【】.
- 2 713 kroner per eksamen hvis du vil forbedre en bestått karakter 【】.

Viktige unntak:
- Språkfag: du betaler to ganger (skriftlig og muntlig) 【】.
- Norsk: du betaler tre ganger (hovedmål, sidemål og muntlig) 【】.
- Realfag nivå 2 (for eksempel fysikk 2/kjemi 2): du betaler to ganger (skriftlig og muntlig-praktisk) 【】.

Betaling og frister:
- Betales med kort i Privatistportalen. Oppmeldingen er ikke gyldig før du har betalt, og betaling må skje innen oppmeldingsfristen. Betalt avgift refunderes ikke etter fristen 【】.
- Prisene fastsettes årlig i statsbudsjettet 【】.

Ønsker du at jeg regner ut total kostnad for ett bestemt fag (eller flere)? Si hvilke fag du planlegger.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Svar fra KI – kan inneholde feil."
cthr_68f7570c819881969333d3279beceb110b77c2fe70519673,2025-10-21 09:49,Veiledning til skriftlig privatist,skriftlig privatist,"Her er kort info om skriftlig privatisteksamen:

- Oppmelding og frister: Du melder deg opp i Privatistportalen. Frister er 1.–15. september for høst og 15. januar–1. februar for vår. Oppmeldingen er gyldig først når du har betalt i portalen .
- Dato og sted: Eksamensdato får du når du melder deg opp. Skriftlig eksamen arrangeres hovedsakelig i Porsgrunn Tennishall. Oppmøte kl. 08.00 .
- Legitimasjon: Du må vise gyldig legitimasjon for å få ta eksamen (for eksempel pass, norsk ID-kort eller førerkort). Mangler du gyldig legitimasjon, får du ikke gjennomføre eksamen .
- Forberedelsesdel: Noen fag har forberedelsesdag. Da publiseres forberedelsen på udir.no fra kl. 09.00 den dagen .
- Bruk av PC og innlevering: Du må ta med egen PC som fungerer uten internett, med skriveprogram installert lokalt. Nettbaserte skriveprogram fungerer ikke. I todelte eksamener (for eksempel matematikk, biologi 2, fysikk 2, kjemi 2, samfunnsøkonomi 2) leveres del 1 på papir, del 2 kan leveres elektronisk eller på papir. Pålogging skjer via kandidat.udir.no ved oppstart i lokalet .
- Tilrettelegging: Du kan søke om tilrettelegging (for eksempel utvidet tid eller skjermet plass). Du søker i Privatistportalen etter at du har meldt deg opp og betalt. Frister: 25. september (høst) og 10. februar (vår) .
- Sykdom/ikke møtt: Blir du syk eller har en gyldig grunn til å ikke møte, kan du søke om utsatt eksamen innen 10 virkedager og laste opp dokumentasjon (for eksempel legeerklæring). Innvilget utsatt eksamen flytter deg til neste eksamensperiode .
- Etter eksamen – karakter og klage: Ved skriftlig eksamen kan du klage i Privatistportalen innen 10 dager etter at karakteren er synlig. Karakteren kan bli satt opp, ned eller stå uendret. Om våren finnes også hurtigklage i enkelte fag med egen frist. Du har ikke krav på begrunnelse for skriftlig karakter   .

Ønsker du detaljer for et bestemt fag (dato, hjelpemidler eller oppbygning), si gjerne hvilket fag, så får du tilpasset informasjon.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f7570c819881969333d3279beceb110b77c2fe70519673,2025-10-21 09:51,Veiledning til skriftlig privatist,må jeg bruke egen pc?,"Ja. Du må bruke egen PC på skriftlig privatisteksamen. Fylket anbefaler ikke nettbrett eller Chromebook. PC-en må ha:
- trådløst nettverkskort
- skriveprogram installert lokalt som virker uten internett (ikke skyløsninger som Office 365/Google)
- oppdatert programvare du kan bruke uten hjelp på eksamensdagen

På todelte eksamener (f.eks. matematikk, biologi 2, fysikk 2, kjemi 2, samfunnsøkonomi 2) leveres del 1 på papir, mens del 2 kan leveres elektronisk eller på papir. Pålogging skjer via kandidat.udir.no i eksamenslokalet .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f75cd3f66481938474efeacbff264405ecf2dcd958a044,2025-10-21 10:13,Eksamen angst med AI,jeg gruer meg til eksamen,"Det er helt normalt å grue seg. Ofte hjelper det å vite hva som faktisk skjer på eksamensdagen, og hva du kan gjøre på forhånd.

Dette kan du forvente:
- Muntlig eksamen: 30 minutter forberedelse, der du kan ta notater du får bruke under hele eksamen. Selve eksamen varer inntil 30 minutter. Du kan velge å starte med en kort innledning, eller gå rett i fagsamtale. Det er kompetansen du viser under eksamen som teller .  
- Muntlig-praktisk eksamen: 45 minutter forberedelse, og inntil 45 minutter eksamen. Det inngår en praktisk del, og du vurderes etter kompetansemålene i faget .  
- Skriftlig eksamen: For de fleste foregår dette i Porsgrunn Tennishall, med oppmøte kl. 08.00. Du må ha gyldig legitimasjon – uten det får du ikke gjennomføre. Beregn litt ventetid og tid til parkering .  
- Hjelpemidler: Regler varierer. På eksamen med begrenset internett er noen nettbaserte hjelpemidler tillatt, men kommunikasjon og bruk av kunstig intelligens er ikke lov. Sjekk krav til ditt fag på kandidat.udir og møt forberedt på eget eksamensnett og eget utstyr .

Slik kan du forberede deg rolig og målrettet:
- Les kompetansemålene i læreplanen for faget – det er disse du vurderes etter .  
- Bruk eksamensveiledninger og tidligere gitte oppgaver for å se hva det legges vekt på. Tidligere oppgaver ligger på udir.no (passord: Eksamen)  .  
- Til muntlig/muntlig-praktisk: Øv på en kort innledning og på å snakke rundt et tema, og bruk forberedelsestiden til å lage tydelige notater du kan støtte deg på under eksamen .  
- Praktiske tips: Ta med gyldig legitimasjon, møt i god tid, og sjekk om du trenger hodetelefoner eller spesialtastatur i språkfag. Hodetelefoner kan brukes etter reglene som er gitt  .

Hvis du trenger tilpasninger:
- Du kan søke om tilrettelegging (for eksempel utvidet tid eller skjermet plass) hvis du har dokumentert behov. Frister: 25. september (høst) og 10. februar (vår). Søknad sendes i Privatistportalen med nødvendig dokumentasjon  .

Hvis du blir syk:
- Blir du syk og ikke kan møte, kan du ha rett til utsatt eksamen hvis du sender inn dokumentasjon innen 10 virkedager via skjema på fylkets nettsider. Blir du syk under eksamen, gi beskjed til eksamensvakten med en gang .

Mange opplever at uro roer seg når de vet rammene, har en enkel plan, og møter i god tid. Ønsker du, kan jeg hjelpe deg å lage en kort sjekkliste for ditt fag.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
